peanut	2025-01-01	Maria Job, Elizabeth Chant, and Katherine Enright	Peanut: From Luxury Food to Livestock Feed
peony	2025-01-01	Ashley Buchanan	Peony: Pretty and Powerful
cryptomeria	2025-01-01	Kira Bre Clingen and Edyth Jostol	Cryptomeria japonica: Climate Change, Cultivation, and Culture
dioscoreavillosa	2025-01-01	Kira Bre Clingen	Wild Yam: The Rhizome of the Pill
breadfruit	2025-01-01	Elaine Savory	The Breadfruit's Reinvention: Pacific to Caribbean
wild-rice	2025-11-24	Flora Klein	Wild Rice: Connecting People to Place
mimosa-pudica	2025-01-01	Elaina Foley, Sabrina Freidus, and Jordan Norviel	The Sensitive Plant: Meaning and Movement
venus-flytrap	2025-01-01	John R. Schaefer	Venus Flytrap: Queen of the Carnivorous Plants
dittany	2025-01-01	Ashley Buchanan	Dittany: Women’s Herbs and Reproductive Control
ayahuasca	2025-01-01	Ashley Thuthao Keng Dam, Diana Heredia-López, Rachael Nelson, and Erin Wrightson	Ayahuasca: Amazonian Plant Lessons
soybean	2025-01-01	Nina Elkadi	Soybean: The Versatile Miracle Crop
mint	2025-01-01	Victoria Pickering	Mint: The Ubiquity of a Commercial Crop
tamarack	2025-01-01	Hannah Hardenbergh	What We Know Now: Tracing the Tamarack
contrayerva	2025-01-01	Ashley Buchanan	Contrayerva
pelargonium	2025-01-01	Daisy Reid, Verónica Matallana Chaves, and Yao Jiang	Pelargonium: By Any Other Name Would Smell as Sweet?
okra	2025-01-01	Allison Caban and Malek Charchour	Okra: An Enduring Kitchen Staple
how-to-read-an-herbarium-specimen	2025-01-01	Maura Flannery	How to Read an Herbarium Specimen
potato	2025-08-01	Nola Rettenmaier, Alexander Betz, and Jessica Gómez	Salvation and Suffering: Potato
black-eyed-pea	2025-01-01	Sarah Mallory, Emily Kamm, Haley Price, and Christina Hourigan	Black-Eyed Pea: Crop, Culture, Class
paperbark	2025-01-01	Bethany Kidd and Sierra Roark	The Broad-Leaf Paperbark: Friend or Foe?
corpse-flower	2025-01-01	Ashley Buchanan	The Corpse Flower - Amorphophallus titanium
carolina-rice	2025-01-01	Julia Fine	Carolina Rice: An Agricultural Legacy of Enslaved Peoples
quinoa	2025-01-01	Matthew Turetsky	Quinoa: From Indigenous Crop to International Superfood
heliconia	2025-01-01	W. John Kress and Yota Batsaki	Heliconia: Evolution at Work
watermelon	2025-01-01	Anna Lawrence, Camilo Uribe Botta, and May Wang	Watermelon: Stereotypes of Race and Class
guelder-rose	2025-08-01	Anna Hogarth, Nidhish Birhade, and Matthew Turetsky	Guelder Rose: The Powerful Symbolism of a Plant in Ukraine and Russia
arbor-vitae	2025-01-01	Ashley Buchanan	Arbor Vitae: In Search of the Tree of Life
indigo	2025-01-01	Jordan Noelle Smith, Gianna Welty, & Hayley Blair	Indigo: Layers of Paint, History, and Art
pecan	2025-01-01	MaryKathryn Underwood, Stefania Rocca, and Paolo Taffaro	Pecan: Beyond Thanksgiving Pie to Indigenous Reciprocity
dragon-tree	2025-01-01	Thomas C. Anderson, Cati Kalinoski, and Lucas Mertehikian	Dracaena draco: The Mystery of Dragon’s Blood
katsura	2025-01-01	Abner Aldarondo	Cercidiphyllum japonicum: The Katsura at Dumbarton Oaks
gulmohar	2025-08-01	Nidhish Birhade	The Gulmohar: Becoming Native
poppy	2025-01-01	Carol Chang, Heather Rose Craddock, and Alejandro Garay	Opium Poppy: A Cursed Beauty
mulberry	2025-08-01	Kate Aubrecht and Viveca Mellegård	Beyond the Silken Shadow: The Mulberry Tree's Metamorphosis and Homecoming
turmeric	2025-01-01	Julia Fine	Turmeric: Herb of the Sun
cinnamon	2025-01-01	Wouter Klein	Cinnamomum verum: Discovering "True" Cinnamon
coffee	2025-09-01	Nina Foster	Arabica Coffee: Cultivating Connection and Climate Resilience
eggplant	2025-01-01	Ana Carolina Carmona-Ribeiro, Nathan Cornish, and Sheila Scoville	Eggplant: Food, Sex, and Poison
cassava	2025-01-01	Christina Emery, Rachel Hirsch, and Melinda Susanto	Cassava: From Toxic Tuber to Food Staple
boxwood	2025-01-01	Anatole Tchikine	Boxwood: A Plant That Took Over the Garden World
cacao	2025-01-01	Rebecca Friedel	Cacao: Indigenous Network to Global Commodity
tamarind	2025-01-01	Allison Fulton, Amara Santiesteban Serrano, and Jeannette Schollaert	Tamarind: From Shady Refuge to Versatile Foodstuff
banana	2025-01-01	Ashley Buchanan	Bananas: Chaos out of Order
jasmine	2025-08-01	Adriana Ballinger and Tori Champion	Jasmine: The Sensual and the Sacred
agave	2025-01-01	Ashley Buchanan	Agave: A Plant with an Intoxicating History
passionflower	2025-08-01	Theo Detweiler, Willa Frank, Rose Kent	Passionflower: Christian Curiosity, Exotic Vine, Tropical Fruit
sunflower	2025-01-01	Kristan M. Hanson	Sunflower: Knowledge, Myth, and Meaning
maize	2025-01-01	Julia Fine	Maize: Sacred Plant, Global Commodity
